      Time   Sample #  Type  Sub Chan  Num	Aux
    6:00.680    90170     N    0    0    0
    6:01.508    90377     N    0    0    0
    6:02.360    90590     N    0    0    0
    6:02.836    90709     V    0    0    0
    6:04.132    91033     N    0    0    0
    6:04.976    91244     N    0    0    0
    6:05.844    91461     N    0    0    0
    6:06.716    91679     N    0    0    0
    6:07.572    91893     N    0    0    0
    6:08.424    92106     N    0    0    0
    6:09.276    92319     N    0    0    0
    6:10.144    92536     N    0    0    0
    6:11.024    92756     N    0    0    0
    6:11.900    92975     N    0    0    0
    6:12.784    93196     N    0    0    0
    6:13.692    93423     N    0    0    0
    6:14.620    93655     N    0    0    0
    6:15.528    93882     N    0    0    0
    6:16.432    94108     N    0    0    0
    6:17.356    94339     N    0    0    0
    6:18.256    94564     N    0    0    0
    6:19.144    94786     N    0    0    0
    6:20.024    95006     N    0    0    0
    6:20.916    95229     N    0    0    0
    6:21.796    95449     N    0    0    0
    6:22.664    95666     N    0    0    0
    6:23.520    95880     N    0    0    0
    6:24.412    96103     N    0    0    0
    6:25.304    96326     N    0    0    0
    6:26.196    96549     N    0    0    0
    6:27.064    96766     N    0    0    0
    6:27.936    96984     N    0    0    0
    6:28.812    97203     N    0    0    0
    6:29.696    97424     N    0    0    0
    6:30.552    97638     N    0    0    0
    6:31.428    97857     N    0    0    0
    6:31.864    97966     V    0    0    0
    6:33.200    98300     N    0    0    0
    6:34.084    98521     N    0    0    0
    6:34.936    98734     N    0    0    0
    6:35.788    98947     N    0    0    0
    6:36.656    99164     N    0    0    0
    6:37.520    99380     N    0    0    0
    6:38.372    99593     N    0    0    0
    6:39.192    99798     N    0    0    0
    6:40.024   100006     N    0    0    0
    6:40.876   100219     N    0    0    0
    6:41.684   100421     N    0    0    0
    6:42.112   100528     V    0    0    0
    6:43.412   100853     N    0    0    0
    6:44.300   101075     N    0    0    0
    6:45.196   101299     N    0    0    0
    6:46.044   101511     N    0    0    0
    6:46.840   101710     N    0    0    0
    6:47.680   101920     N    0    0    0
    6:48.528   102132     N    0    0    0
    6:49.332   102333     N    0    0    0
    6:50.168   102542     N    0    0    0
    6:51.032   102758     N    0    0    0
    6:51.860   102965     N    0    0    0
    6:52.736   103184     N    0    0    0
    6:53.604   103401     N    0    0    0
    6:54.484   103621     N    0    0    0
    6:54.928   103732     V    0    0    0
    6:56.216   104054     N    0    0    0
    6:57.056   104264     N    0    0    0
    6:57.860   104465     N    0    0    0
    6:58.660   104665     N    0    0    0
    6:59.460   104865     N    0    0    0
    7:00.256   105064     N    0    0    0
    7:01.048   105262     N    0    0    0
    7:01.832   105458     N    0    0    0
    7:02.640   105660     N    0    0    0
    7:03.460   105865     N    0    0    0
    7:04.296   106074     N    0    0    0
    7:05.116   106279     N    0    0    0
    7:05.968   106492     N    0    0    0
    7:06.828   106707     N    0    0    0
    7:07.696   106924     N    0    0    0
    7:08.544   107136     N    0    0    0
    7:09.400   107350     N    0    0    0
    7:09.928   107482     V    0    0    0
    7:11.220   107805     N    0    0    0
    7:12.096   108024     N    0    0    0
    7:12.948   108237     N    0    0    0
    7:13.824   108456     N    0    0    0
    7:14.684   108671     N    0    0    0
    7:15.552   108888     N    0    0    0
    7:16.392   109098     N    0    0    0
    7:17.236   109309     N    0    0    0
    7:18.096   109524     N    0    0    0
    7:18.968   109742     N    0    0    0
    7:19.872   109968     N    0    0    0
    7:20.740   110185     N    0    0    0
    7:21.600   110400     N    0    0    0
    7:22.484   110621     N    0    0    0
    7:23.384   110846     N    0    0    0
    7:24.264   111066     N    0    0    0
    7:25.116   111279     N    0    0    0
    7:25.552   111388     V    0    0    0
    7:26.904   111726     N    0    0    0
    7:27.772   111943     N    0    0    0
    7:28.624   112156     N    0    0    0
    7:29.492   112373     N    0    0    0
    7:30.340   112585     N    0    0    0
    7:31.196   112799     N    0    0    0
    7:32.028   113007     N    0    0    0
    7:32.856   113214     N    0    0    0
    7:33.720   113430     N    0    0    0
    7:34.596   113649     N    0    0    0
    7:35.472   113868     N    0    0    0
    7:36.332   114083     N    0    0    0
    7:37.228   114307     N    0    0    0
    7:38.128   114532     N    0    0    0
    7:39.048   114762     N    0    0    0
    7:39.920   114980     N    0    0    0
    7:40.808   115202     N    0    0    0
    7:41.700   115425     N    0    0    0
    7:42.588   115647     N    0    0    0
    7:43.460   115865     N    0    0    0
    7:44.320   116080     N    0    0    0
    7:45.192   116298     N    0    0    0
    7:46.068   116517     N    0    0    0
    7:46.928   116732     N    0    0    0
    7:47.792   116948     N    0    0    0
    7:48.200   117050     V    0    0    0
    7:49.488   117372     N    0    0    0
    7:50.352   117588     N    0    0    0
    7:51.204   117801     N    0    0    0
    7:52.044   118011     N    0    0    0
    7:52.892   118223     N    0    0    0
    7:53.724   118431     N    0    0    0
    7:54.592   118648     N    0    0    0
    7:55.448   118862     N    0    0    0
    7:56.288   119072     N    0    0    0
    7:57.176   119294     N    0    0    0
    7:58.068   119517     N    0    0    0
    7:58.980   119745     N    0    0    0
    7:59.880   119970     N    0    0    0
    8:00.768   120192     N    0    0    0
    8:01.692   120423     N    0    0    0
    8:02.612   120653     N    0    0    0
    8:03.524   120881     N    0    0    0
    8:04.428   121107     N    0    0    0
    8:05.352   121338     N    0    0    0
    8:06.264   121566     N    0    0    0
    8:07.152   121788     N    0    0    0
    8:08.020   122005     N    0    0    0
    8:08.896   122224     N    0    0    0
    8:09.760   122440     N    0    0    0
    8:10.624   122656     N    0    0    0
    8:11.484   122871     N    0    0    0
    8:12.344   123086     N    0    0    0
    8:13.216   123304     N    0    0    0
    8:14.084   123521     N    0    0    0
    8:14.948   123737     N    0    0    0
    8:15.808   123952     N    0    0    0
    8:16.668   124167     N    0    0    0
    8:17.548   124387     N    0    0    0
    8:18.420   124605     N    0    0    0
    8:19.284   124821     N    0    0    0
    8:20.164   125041     N    0    0    0
    8:20.588   125147     V    0    0    0
    8:21.896   125474     N    0    0    0
    8:22.760   125690     N    0    0    0
    8:23.600   125900     N    0    0    0
    8:24.448   126112     N    0    0    0
    8:25.300   126325     N    0    0    0
    8:26.152   126538     N    0    0    0
    8:26.996   126749     N    0    0    0
    8:27.836   126959     N    0    0    0
    8:28.696   127174     N    0    0    0
    8:29.576   127394     N    0    0    0
    8:30.448   127612     N    0    0    0
    8:31.312   127828     N    0    0    0
    8:31.736   127934     V    0    0    0
    8:33.068   128267     N    0    0    0
    8:33.952   128488     N    0    0    0
    8:34.808   128702     N    0    0    0
    8:35.684   128921     N    0    0    0
    8:36.552   129138     N    0    0    0
    8:37.404   129351     N    0    0    0
    8:38.248   129562     N    0    0    0
    8:39.100   129775     N    0    0    0
    8:39.536   129884     V    0    0    0
    8:40.800   130200     N    0    0    0
    8:41.632   130408     N    0    0    0
    8:42.456   130614     N    0    0    0
    8:43.304   130826     N    0    0    0
    8:44.144   131036     N    0    0    0
    8:44.984   131246     N    0    0    0
    8:45.828   131457     N    0    0    0
    8:46.676   131669     N    0    0    0
    8:47.556   131889     N    0    0    0
    8:48.432   132108     N    0    0    0
    8:49.308   132327     N    0    0    0
    8:50.176   132544     N    0    0    0
    8:51.060   132765     N    0    0    0
    8:51.948   132987     N    0    0    0
    8:52.400   133100     V    0    0    0
    8:53.684   133421     N    0    0    0
    8:54.540   133635     N    0    0    0
    8:55.408   133852     N    0    0    0
    8:56.264   134066     N    0    0    0
    8:57.112   134278     N    0    0    0
    8:57.948   134487     N    0    0    0
    8:58.808   134702     N    0    0    0
    8:59.680   134920     N    0    0    0
    9:00.536   135134     N    0    0    0
    9:01.372   135343     N    0    0    0
    9:02.212   135553     N    0    0    0
    9:03.072   135768     N    0    0    0
    9:03.952   135988     N    0    0    0
    9:04.812   136203     N    0    0    0
    9:05.660   136415     N    0    0    0
    9:06.548   136637     N    0    0    0
    9:07.428   136857     N    0    0    0
    9:08.304   137076     N    0    0    0
    9:09.184   137296     N    0    0    0
    9:10.052   137513     N    0    0    0
    9:10.944   137736     N    0    0    0
    9:11.816   137954     N    0    0    0
    9:12.672   138168     N    0    0    0
    9:13.516   138379     N    0    0    0
    9:14.364   138591     N    0    0    0
    9:15.216   138804     N    0    0    0
    9:16.060   139015     N    0    0    0
    9:16.900   139225     N    0    0    0
    9:17.760   139440     N    0    0    0
    9:18.172   139543     V    0    0    0
    9:19.448   139862     N    0    0    0
    9:20.288   140072     N    0    0    0
    9:21.112   140278     N    0    0    0
    9:21.936   140484     N    0    0    0
    9:22.784   140696     N    0    0    0
    9:23.612   140903     N    0    0    0
    9:24.428   141107     N    0    0    0
    9:25.252   141313     N    0    0    0
    9:26.092   141523     N    0    0    0
    9:26.960   141740     N    0    0    0
    9:27.852   141963     N    0    0    0
    9:28.704   142176     N    0    0    0
    9:29.140   142285     V    0    0    0
    9:30.448   142612     N    0    0    0
    9:31.308   142827     N    0    0    0
    9:32.164   143041     N    0    0    0
    9:33.000   143250     N    0    0    0
    9:33.856   143464     N    0    0    0
    9:34.708   143677     N    0    0    0
    9:35.548   143887     N    0    0    0
    9:36.392   144098     N    0    0    0
    9:37.236   144309     N    0    0    0
    9:37.668   144417     V    0    0    0
    9:38.944   144736     N    0    0    0
    9:39.816   144954     N    0    0    0
    9:40.652   145163     N    0    0    0
    9:41.496   145374     N    0    0    0
    9:42.344   145586     N    0    0    0
    9:43.208   145802     N    0    0    0
    9:44.052   146013     N    0    0    0
    9:44.896   146224     N    0    0    0
    9:45.756   146439     N    0    0    0
    9:46.236   146559     V    0    0    0
    9:47.476   146869     N    0    0    0
    9:48.312   147078     N    0    0    0
    9:49.144   147286     N    0    0    0
    9:49.980   147495     N    0    0    0
    9:50.816   147704     N    0    0    0
    9:51.648   147912     N    0    0    0
    9:52.492   148123     N    0    0    0
    9:53.352   148338     N    0    0    0
    9:54.228   148557     N    0    0    0
    9:55.116   148779     N    0    0    0
    9:55.988   148997     N    0    0    0
    9:56.864   149216     N    0    0    0
    9:57.320   149330     V    0    0    0
    9:58.612   149653     N    0    0    0
    9:59.476   149869     N    0    0    0
   10:00.328   150082     N    0    0    0
   10:01.172   150293     N    0    0    0
   10:02.032   150508     N    0    0    0
   10:02.888   150722     N    0    0    0
   10:03.728   150932     N    0    0    0
   10:04.596   151149     N    0    0    0
   10:05.448   151362     N    0    0    0
   10:06.320   151580     N    0    0    0
   10:07.192   151798     N    0    0    0
   10:08.036   152009     N    0    0    0
   10:08.572   152143     V    0    0    0
   10:09.772   152443     N    0    0    0
   10:10.640   152660     N    0    0    0
   10:11.480   152870     N    0    0    0
   10:12.324   153081     N    0    0    0
   10:13.172   153293     N    0    0    0
   10:14.020   153505     N    0    0    0
   10:14.864   153716     N    0    0    0
   10:15.700   153925     N    0    0    0
   10:16.540   154135     N    0    0    0
   10:17.080   154270     V    0    0    0
   10:18.236   154559     N    0    0    0
   10:19.044   154761     N    0    0    0
   10:19.880   154970     N    0    0    0
   10:20.696   155174     N    0    0    0
   10:21.504   155376     N    0    0    0
   10:22.268   155567     N    0    0    0
   10:23.068   155767     N    0    0    0
   10:23.864   155966     N    0    0    0
   10:24.644   156161     N    0    0    0
   10:25.420   156355     N    0    0    0
   10:26.224   156556     N    0    0    0
   10:27.040   156760     N    0    0    0
   10:27.860   156965     N    0    0    0
   10:28.664   157166     N    0    0    0
   10:29.496   157374     N    0    0    0
   10:30.344   157586     N    0    0    0
   10:31.196   157799     N    0    0    0
   10:31.648   157912     V    0    0    0
   10:32.888   158222     N    0    0    0
   10:33.724   158431     N    0    0    0
   10:34.556   158639     N    0    0    0
   10:35.360   158840     N    0    0    0
   10:36.156   159039     N    0    0    0
   10:36.976   159244     N    0    0    0
   10:37.784   159446     N    0    0    0
   10:38.600   159650     N    0    0    0
   10:39.408   159852     N    0    0    0
   10:40.232   160058     N    0    0    0
   10:41.072   160268     N    0    0    0
   10:41.924   160481     N    0    0    0
   10:42.776   160694     N    0    0    0
   10:43.620   160905     N    0    0    0
   10:44.480   161120     N    0    0    0
   10:45.352   161338     N    0    0    0
   10:46.212   161553     N    0    0    0
   10:47.080   161770     N    0    0    0
   10:47.952   161988     N    0    0    0
   10:48.376   162094     V    0    0    0
   10:49.716   162429     N    0    0    0
   10:50.572   162643     N    0    0    0
   10:51.404   162851     N    0    0    0
   10:52.240   163060     N    0    0    0
   10:53.080   163270     N    0    0    0
   10:53.900   163475     N    0    0    0
   10:54.720   163680     N    0    0    0
   10:55.560   163890     N    0    0    0
   10:56.408   164102     N    0    0    0
   10:57.268   164317     N    0    0    0
   10:58.128   164532     N    0    0    0
   10:58.968   164742     N    0    0    0
   10:59.528   164882     V    0    0    0
   11:00.800   165200     N    0    0    0
   11:01.668   165417     N    0    0    0
   11:02.520   165630     N    0    0    0
   11:03.364   165841     N    0    0    0
   11:04.192   166048     N    0    0    0
   11:04.956   166239     N    0    0    0
   11:05.720   166430     N    0    0    0
   11:06.500   166625     N    0    0    0
   11:07.280   166820     N    0    0    0
   11:08.092   167023     N    0    0    0
   11:08.892   167223     N    0    0    0
   11:09.692   167423     N    0    0    0
   11:10.508   167627     N    0    0    0
   11:11.304   167826     N    0    0    0
   11:12.128   168032     N    0    0    0
   11:12.972   168243     N    0    0    0
   11:13.392   168348     V    0    0    0
   11:14.628   168657     N    0    0    0
   11:15.480   168870     N    0    0    0
   11:16.296   169074     N    0    0    0
   11:17.116   169279     N    0    0    0
   11:17.932   169483     N    0    0    0
   11:18.748   169687     N    0    0    0
   11:19.572   169893     N    0    0    0
   11:20.428   170107     N    0    0    0
   11:21.340   170335     N    0    0    0
   11:22.256   170564     N    0    0    0
   11:23.160   170790     N    0    0    0
   11:24.080   171020     N    0    0    0
   11:24.964   171241     N    0    0    0
   11:25.856   171464     N    0    0    0
   11:26.764   171691     N    0    0    0
   11:27.196   171799     V    0    0    0
   11:28.576   172144     N    0    0    0
   11:29.488   172372     N    0    0    0
   11:30.360   172590     N    0    0    0
   11:31.204   172801     N    0    0    0
   11:32.060   173015     N    0    0    0
   11:32.932   173233     N    0    0    0
   11:33.816   173454     N    0    0    0
   11:34.688   173672     N    0    0    0
   11:35.536   173884     N    0    0    0
   11:36.392   174098     N    0    0    0
   11:37.264   174316     N    0    0    0
   11:38.148   174537     N    0    0    0
   11:39.040   174760     N    0    0    0
   11:39.480   174870     V    0    0    0
   11:40.788   175197     N    0    0    0
   11:41.672   175418     N    0    0    0
   11:42.520   175630     N    0    0    0
   11:43.368   175842     N    0    0    0
   11:44.204   176051     N    0    0    0
   11:45.008   176252     N    0    0    0
   11:45.812   176453     N    0    0    0
   11:46.612   176653     N    0    0    0
   11:47.432   176858     N    0    0    0
   11:48.268   177067     N    0    0    0
   11:49.124   177281     N    0    0    0
   11:49.548   177387     V    0    0    0
   11:50.828   177707     N    0    0    0
   11:51.708   177927     N    0    0    0
   11:52.520   178130     N    0    0    0
   11:53.348   178337     N    0    0    0
   11:54.192   178548     N    0    0    0
   11:55.020   178755     N    0    0    0
   11:55.864   178966     N    0    0    0
   11:56.724   179181     N    0    0    0
   11:57.548   179387     N    0    0    0
   11:58.392   179598     N    0    0    0
   11:59.284   179821     N    0    0    0
   12:00.196   180049     N    0    0    0
   12:01.060   180265     N    0    0    0
   12:01.888   180472     N    0    0    0
   12:02.764   180691     N    0    0    0
   12:03.616   180904     N    0    0    0
   12:04.460   181115     N    0    0    0
   12:05.280   181320     N    0    0    0
   12:06.116   181529     N    0    0    0
   12:06.952   181738     N    0    0    0
   12:07.772   181943     N    0    0    0
   12:08.576   182144     N    0    0    0
   12:09.400   182350     N    0    0    0
   12:10.232   182558     N    0    0    0
   12:11.076   182769     N    0    0    0
   12:11.536   182884     V    0    0    0
   12:12.792   183198     N    0    0    0
   12:13.636   183409     N    0    0    0
   12:14.468   183617     N    0    0    0
   12:15.300   183825     N    0    0    0
   12:16.124   184031     N    0    0    0
   12:16.936   184234     N    0    0    0
   12:17.772   184443     N    0    0    0
   12:18.640   184660     N    0    0    0
   12:19.508   184877     N    0    0    0
   12:20.352   185088     N    0    0    0
   12:20.792   185198     V    0    0    0
   12:22.100   185525     N    0    0    0
   12:22.976   185744     N    0    0    0
   12:23.824   185956     N    0    0    0
   12:24.652   186163     N    0    0    0
   12:25.508   186377     N    0    0    0
   12:26.352   186588     N    0    0    0
   12:27.184   186796     N    0    0    0
   12:28.016   187004     N    0    0    0
   12:28.856   187214     N    0    0    0
   12:29.696   187424     N    0    0    0
   12:30.536   187634     N    0    0    0
   12:31.376   187844     N    0    0    0
   12:32.216   188054     N    0    0    0
   12:33.080   188270     N    0    0    0
   12:33.928   188482     N    0    0    0
   12:34.776   188694     N    0    0    0
   12:35.616   188904     N    0    0    0
   12:36.484   189121     N    0    0    0
   12:36.916   189229     V    0    0    0
   12:38.204   189551     N    0    0    0
   12:39.036   189759     N    0    0    0
   12:39.880   189970     N    0    0    0
   12:40.700   190175     N    0    0    0
   12:41.508   190377     N    0    0    0
   12:42.304   190576     N    0    0    0
   12:43.100   190775     N    0    0    0
   12:43.916   190979     N    0    0    0
   12:44.728   191182     N    0    0    0
   12:45.544   191386     N    0    0    0
   12:46.368   191592     N    0    0    0
   12:47.208   191802     N    0    0    0
   12:47.688   191922     V    0    0    0
   12:48.888   192222     N    0    0    0
   12:49.680   192420     N    0    0    0
   12:50.464   192616     N    0    0    0
   12:51.256   192814     N    0    0    0
   12:52.060   193015     N    0    0    0
   12:52.856   193214     N    0    0    0
   12:53.660   193415     N    0    0    0
   12:54.488   193622     N    0    0    0
   12:55.328   193832     N    0    0    0
   12:56.176   194044     N    0    0    0
   12:57.028   194257     N    0    0    0
   12:57.888   194472     N    0    0    0
   12:58.772   194693     N    0    0    0
   12:59.664   194916     N    0    0    0
   13:00.096   195024     V    0    0    0
   13:01.420   195355     N    0    0    0
   13:02.312   195578     N    0    0    0
   13:03.184   195796     N    0    0    0
   13:04.052   196013     N    0    0    0
   13:04.884   196221     N    0    0    0
   13:05.700   196425     N    0    0    0
   13:06.528   196632     N    0    0    0
   13:07.356   196839     N    0    0    0
   13:08.188   197047     N    0    0    0
   13:08.992   197248     N    0    0    0
   13:09.412   197353     V    0    0    0
   13:10.684   197671     N    0    0    0
   13:11.520   197880     N    0    0    0
   13:12.340   198085     N    0    0    0
   13:13.160   198290     N    0    0    0
   13:13.992   198498     N    0    0    0
   13:14.836   198709     N    0    0    0
   13:15.700   198925     N    0    0    0
   13:16.572   199143     N    0    0    0
   13:17.432   199358     N    0    0    0
   13:18.272   199568     N    0    0    0
   13:19.144   199786     N    0    0    0
   13:20.012   200003     N    0    0    0
   13:20.488   200122     V    0    0    0
   13:21.780   200445     N    0    0    0
   13:22.648   200662     N    0    0    0
   13:23.516   200879     N    0    0    0
   13:24.376   201094     N    0    0    0
   13:25.216   201304     N    0    0    0
   13:26.060   201515     N    0    0    0
   13:26.932   201733     N    0    0    0
   13:27.808   201952     N    0    0    0
   13:28.672   202168     N    0    0    0
   13:29.540   202385     N    0    0    0
   13:30.436   202609     N    0    0    0
   13:31.340   202835     N    0    0    0
   13:32.232   203058     N    0    0    0
   13:33.104   203276     N    0    0    0
   13:33.968   203492     N    0    0    0
   13:34.856   203714     N    0    0    0
   13:35.728   203932     N    0    0    0
   13:36.572   204143     N    0    0    0
   13:37.428   204357     N    0    0    0
   13:38.288   204572     N    0    0    0
   13:39.128   204782     N    0    0    0
   13:39.964   204991     N    0    0    0
   13:40.788   205197     N    0    0    0
   13:41.640   205410     N    0    0    0
   13:42.484   205621     N    0    0    0
   13:43.332   205833     N    0    0    0
   13:43.756   205939     V    0    0    0
   13:45.028   206257     N    0    0    0
   13:45.840   206460     N    0    0    0
   13:46.660   206665     N    0    0    0
   13:47.464   206866     N    0    0    0
   13:48.268   207067     N    0    0    0
   13:49.096   207274     N    0    0    0
   13:49.920   207480     N    0    0    0
   13:50.760   207690     N    0    0    0
   13:51.608   207902     N    0    0    0
   13:52.452   208113     N    0    0    0
   13:53.324   208331     N    0    0    0
   13:54.236   208559     N    0    0    0
   13:55.144   208786     N    0    0    0
   13:56.036   209009     N    0    0    0
   13:56.936   209234     N    0    0    0
   13:57.856   209464     N    0    0    0
   13:58.772   209693     N    0    0    0
   13:59.676   209919     N    0    0    0
   14:00.604   210151     N    0    0    0
   14:01.528   210382     N    0    0    0
   14:02.428   210607     N    0    0    0
   14:03.312   210828     N    0    0    0
   14:04.204   211051     N    0    0    0
   14:05.096   211274     N    0    0    0
   14:05.972   211493     N    0    0    0
   14:06.812   211703     N    0    0    0
   14:07.672   211918     N    0    0    0
   14:08.544   212136     N    0    0    0
   14:09.396   212349     N    0    0    0
   14:10.252   212563     N    0    0    0
   14:11.100   212775     N    0    0    0
   14:11.980   212995     N    0    0    0
   14:12.852   213213     N    0    0    0
   14:13.720   213430     N    0    0    0
   14:14.596   213649     N    0    0    0
   14:15.452   213863     N    0    0    0
   14:15.872   213968     V    0    0    0
   14:17.216   214304     N    0    0    0
   14:18.100   214525     N    0    0    0
   14:18.960   214740     N    0    0    0
   14:19.816   214954     N    0    0    0
   14:20.672   215168     N    0    0    0
   14:21.536   215384     N    0    0    0
   14:22.392   215598     N    0    0    0
   14:23.244   215811     N    0    0    0
   14:24.100   216025     N    0    0    0
   14:24.576   216144     V    0    0    0
   14:25.856   216464     N    0    0    0
   14:26.696   216674     N    0    0    0
   14:27.552   216888     N    0    0    0
   14:28.412   217103     N    0    0    0
   14:29.260   217315     N    0    0    0
   14:30.096   217524     N    0    0    0
   14:30.964   217741     N    0    0    0
   14:31.836   217959     N    0    0    0
   14:32.712   218178     N    0    0    0
   14:33.576   218394     N    0    0    0
   14:34.468   218617     N    0    0    0
   14:35.040   218760     V    0    0    0
   14:36.296   219074     N    0    0    0
   14:37.160   219290     N    0    0    0
   14:38.032   219508     N    0    0    0
   14:38.884   219721     N    0    0    0
   14:39.736   219934     N    0    0    0
   14:40.556   220139     N    0    0    0
   14:41.380   220345     N    0    0    0
   14:42.232   220558     N    0    0    0
   14:43.096   220774     N    0    0    0
   14:43.964   220991     N    0    0    0
   14:44.804   221201     N    0    0    0
   14:45.684   221421     N    0    0    0
   14:46.584   221646     N    0    0    0
   14:47.492   221873     N    0    0    0
   14:48.376   222094     N    0    0    0
   14:48.812   222203     V    0    0    0
   14:50.148   222537     N    0    0    0
   14:51.040   222760     N    0    0    0
   14:51.920   222980     N    0    0    0
   14:52.776   223194     N    0    0    0
   14:53.628   223407     N    0    0    0
   14:54.468   223617     N    0    0    0
   14:55.324   223831     N    0    0    0
   14:56.184   224046     N    0    0    0
   14:57.036   224259     N    0    0    0
   14:57.456   224364     V    0    0    0
   14:58.752   224688     N    0    0    0
   14:59.612   224903     N    0    0    0
   15:00.452   225113     N    0    0    0
   15:01.284   225321     N    0    0    0
   15:02.128   225532     N    0    0    0
   15:02.996   225749     N    0    0    0
   15:03.828   225957     N    0    0    0
   15:04.656   226164     N    0    0    0
   15:05.108   226277     V    0    0    0
   15:06.408   226602     N    0    0    0
   15:07.268   226817     N    0    0    0
   15:08.108   227027     N    0    0    0
   15:08.956   227239     N    0    0    0
   15:09.804   227451     N    0    0    0
   15:10.656   227664     N    0    0    0
   15:11.508   227877     N    0    0    0
   15:12.368   228092     N    0    0    0
   15:13.244   228311     N    0    0    0
   15:14.140   228535     N    0    0    0
   15:15.048   228762     N    0    0    0
   15:15.932   228983     N    0    0    0
   15:16.356   229089     V    0    0    0
   15:17.724   229431     N    0    0    0
   15:18.604   229651     N    0    0    0
   15:19.456   229864     N    0    0    0
   15:20.316   230079     N    0    0    0
   15:21.160   230290     N    0    0    0
   15:22.000   230500     N    0    0    0
   15:22.836   230709     N    0    0    0
   15:23.672   230918     N    0    0    0
   15:24.508   231127     N    0    0    0
   15:25.368   231342     N    0    0    0
   15:25.808   231452     V    0    0    0
   15:27.076   231769     N    0    0    0
   15:27.916   231979     N    0    0    0
   15:28.768   232192     N    0    0    0
   15:29.612   232403     N    0    0    0
   15:30.448   232612     N    0    0    0
   15:31.304   232826     N    0    0    0
   15:32.176   233044     N    0    0    0
   15:33.036   233259     N    0    0    0
   15:33.888   233472     N    0    0    0
   15:34.752   233688     N    0    0    0
   15:35.648   233912     N    0    0    0
   15:36.552   234138     N    0    0    0
   15:37.024   234256     V    0    0    0
   15:38.364   234591     N    0    0    0
   15:39.248   234812     N    0    0    0
   15:40.144   235036     N    0    0    0
   15:41.020   235255     N    0    0    0
   15:41.860   235465     N    0    0    0
   15:42.728   235682     N    0    0    0
   15:43.600   235900     N    0    0    0
   15:44.476   236119     N    0    0    0
   15:45.324   236331     N    0    0    0
   15:46.156   236539     N    0    0    0
   15:47.024   236756     N    0    0    0
   15:47.880   236970     N    0    0    0
   15:48.728   237182     N    0    0    0
   15:49.560   237390     N    0    0    0
   15:50.396   237599     N    0    0    0
   15:51.260   237815     N    0    0    0
   15:52.128   238032     N    0    0    0
   15:52.976   238244     N    0    0    0
   15:53.824   238456     N    0    0    0
   15:54.696   238674     N    0    0    0
   15:55.568   238892     N    0    0    0
   15:56.436   239109     N    0    0    0
   15:57.276   239319     N    0    0    0
   15:58.144   239536     N    0    0    0
   15:59.036   239759     N    0    0    0
   15:59.928   239982     N    0    0    0
   16:00.800   240200     N    0    0    0
